id_municipality,name,id_department
15001,"TUNJA, BOYACA",15
15022,"ALMEIDA, BOYACA",15
15047,"AQUITANIA, BOYACA",15
15051,"ARCABUCO, BOYACA",15
15087,"BELEN, BOYACA",15
15090,"BERBEO, BOYACA",15
15092,"BETEITIVA, BOYACA",15
15097,"BOAVITA, BOYACA",15
15104,"BOYACA, BOYACA",15
15106,"BRICENO, BOYACA",15
15109,"BUENAVISTA, BOYACA",15
15114,"BUSBANZA, BOYACA",15
15131,"CALDAS, BOYACA",15
15162,"CERINZA, BOYACA",15
15172,"CHINAVITA, BOYACA",15
15176,"CHIQUINQUIRA, BOYACA",15
15180,"CHISCAS, BOYACA",15
15183,"CHITA, BOYACA",15
15185,"CHITARAQUE, BOYACA",15
15187,"CHIVATA, BOYACA",15
15189,"CIENEGA, BOYACA",15
15204,"COMBITA, BOYACA",15
15212,"COPER, BOYACA",15
15215,"CORRALES, BOYACA",15
15218,"COVARACHIA, BOYACA",15
15223,"CUBARA, BOYACA",15
15224,"CUCAITA, BOYACA",15
15226,"CUITIVA, BOYACA",15
15232,"CHIQUIZA, BOYACA",15
15236,"CHIVOR, BOYACA",15
15238,"DUITAMA, BOYACA",15
15244,"EL COCUY, BOYACA",15
15248,"EL ESPINO, BOYACA",15
15272,"FIRAVITOBA, BOYACA",15
15276,"FLORESTA, BOYACA",15
15293,"GACHANTIVA, BOYACA",15
15296,"GAMEZA, BOYACA",15
15299,"GARAGOA, BOYACA",15
15317,"GUACAMAYAS, BOYACA",15
15322,"GUATEQUE, BOYACA",15
15325,"GUAYATA, BOYACA",15
15332,"GUICAN, BOYACA",15
15362,"IZA, BOYACA",15
15367,"JENESANO, BOYACA",15
15368,"JERICO, BOYACA",15
15377,"LABRANZAGRANDE, BOYACA",15
15380,"LA CAPILLA, BOYACA",15
15401,"LA VICTORIA, BOYACA",15
15403,"LA UVITA, BOYACA",15
15407,"VILLA DE LEYVA, BOYACA",15
15425,"MACANAL, BOYACA",15
15442,"MARIPI, BOYACA",15
15455,"MIRAFLORES, BOYACA",15
15464,"MONGUA, BOYACA",15
15466,"MONGUI, BOYACA",15
15469,"MONIQUIRA, BOYACA",15
15476,"MOTAVITA, BOYACA",15
15480,"MUZO, BOYACA",15
15491,"NOBSA, BOYACA",15
15494,"NUEVO COLON, BOYACA",15
15500,"OICATA, BOYACA",15
15507,"OTANCHE, BOYACA",15
15511,"PACHAVITA, BOYACA",15
15514,"PAEZ, BOYACA",15
15516,"PAIPA, BOYACA",15
15518,"PAJARITO, BOYACA",15
15522,"PANQUEBA, BOYACA",15
15531,"PAUNA, BOYACA",15
15537,"PAZ DE RIO, BOYACA",15
15542,"PESCA, BOYACA",15
15550,"PISBA, BOYACA",15
15572,"PUERTO BOYACA, BOYACA",15
15580,"QUIPAMA, BOYACA",15
15599,"RAMIRIQUI, BOYACA",15
15600,"RAQUIRA, BOYACA",15
15621,"RONDON, BOYACA",15
15632,"SABOYA, BOYACA",15
15638,"SACHICA, BOYACA",15
15646,"SAMACA, BOYACA",15
15660,"SAN EDUARDO, BOYACA",15
15664,"SAN JOSE DE PARE, BOYACA",15
15667,"SAN LUIS DE GACENO, BOYACA",15
15673,"SAN MATEO, BOYACA",15
15676,"SAN MIGUEL DE SEMA, BOYACA",15
15681,"SAN PABLO DE BORBUR, BOYACA",15
15686,"SANTANA, BOYACA",15
15690,"SANTA MARIA, BOYACA",15
15693,"SANTA ROSA DE VITERBO, BOYACA",15
15696,"SANTA SOFIA, BOYACA",15
15720,"SATIVANORTE, BOYACA",15
15723,"SATIVASUR, BOYACA",15
15740,"SIACHOQUE, BOYACA",15
15753,"SOATA, BOYACA",15
15755,"SOCOTA, BOYACA",15
15757,"SOCHA, BOYACA",15
15759,"SOGAMOSO, BOYACA",15
15761,"SOMONDOCO, BOYACA",15
15762,"SORA, BOYACA",15
15763,"SOTAQUIRA, BOYACA",15
15764,"SORACA, BOYACA",15
15774,"SUSACON, BOYACA",15
15776,"SUTAMARCHAN, BOYACA",15
15778,"SUTATENZA, BOYACA",15
15790,"TASCO, BOYACA",15
15798,"TENZA, BOYACA",15
15804,"TIBANA, BOYACA",15
15806,"TIBASOSA, BOYACA",15
15808,"TINJACA, BOYACA",15
15810,"TIPACOQUE, BOYACA",15
15814,"TOCA, BOYACA",15
15816,"TOGUI, BOYACA",15
15820,"TOPAGA, BOYACA",15
15822,"TOTA, BOYACA",15
15832,"TUNUNGUA, BOYACA",15
15835,"TURMEQUE, BOYACA",15
15837,"TUTA, BOYACA",15
15839,"TUTAZA, BOYACA",15
15842,"UMBITA, BOYACA",15
15861,"VENTAQUEMADA, BOYACA",15
15879,"VIRACACHA, BOYACA",15
15897,"ZETAQUIRA, BOYACA",15
25001,"AGUA DE DIOS, CUNDINAMARCA",25
25019,"ALBAN, CUNDINAMARCA",25
25035,"ANAPOIMA, CUNDINAMARCA",25
25040,"ANOLAIMA, CUNDINAMARCA",25
25053,"ARBELAEZ, CUNDINAMARCA",25
25086,"BELTRAN, CUNDINAMARCA",25
25095,"BITUIMA, CUNDINAMARCA",25
25099,"BOJACA, CUNDINAMARCA",25
25120,"CABRERA, CUNDINAMARCA",25
25123,"CACHIPAY, CUNDINAMARCA",25
25126,"CAJICA, CUNDINAMARCA",25
25148,"CAPARRAPI, CUNDINAMARCA",25
25151,"CAQUEZA, CUNDINAMARCA",25
25154,"CARMEN DE CARUPA, CUNDINAMARCA",25
25168,"CHAGUANI, CUNDINAMARCA",25
25175,"CHIA, CUNDINAMARCA",25
25178,"CHIPAQUE, CUNDINAMARCA",25
25181,"CHOACHI, CUNDINAMARCA",25
25183,"CHOCONTA, CUNDINAMARCA",25
25200,"COGUA, CUNDINAMARCA",25
25214,"COTA, CUNDINAMARCA",25
25224,"CUCUNUBA, CUNDINAMARCA",25
25245,"EL COLEGIO, CUNDINAMARCA",25
25258,"EL PEÑON, CUNDINAMARCA",25
25260,"EL ROSAL, CUNDINAMARCA",25
25269,"FACATATIVA, CUNDINAMARCA",25
25279,"FOMEQUE, CUNDINAMARCA",25
25281,"FOSCA, CUNDINAMARCA",25
25286,"FUNZA, CUNDINAMARCA",25
25288,"FUQUENE, CUNDINAMARCA",25
25290,"FUSAGASUGA, CUNDINAMARCA",25
25293,"GACHALA, CUNDINAMARCA",25
25295,"GACHANCIPA, CUNDINAMARCA",25
25297,"GACHETA, CUNDINAMARCA",25
25299,"GAMA, CUNDINAMARCA",25
25307,"GIRARDOT, CUNDINAMARCA",25
25312,"GRANADA, CUNDINAMARCA",25
25317,"GUACHETA, CUNDINAMARCA",25
25320,"GUADUAS, CUNDINAMARCA",25
25322,"GUASCA, CUNDINAMARCA",25
25324,"GUATAQUI, CUNDINAMARCA",25
25326,"GUATAVITA, CUNDINAMARCA",25
25328,"GUAYABAL DE SIQUIMA, CUNDINAMARCA",25
25335,"GUAYABETAL, CUNDINAMARCA",25
25339,"GUTIERREZ, CUNDINAMARCA",25
25372,"JUNIN, CUNDINAMARCA",25
25377,"LA CALERA, CUNDINAMARCA",25
25386,"LA MESA, CUNDINAMARCA",25
25394,"LA PALMA, CUNDINAMARCA",25
25398,"LA PEÑA, CUNDINAMARCA",25
25402,"LA VEGA, CUNDINAMARCA",25
25407,"LENGUAZAQUE, CUNDINAMARCA",25
25426,"MACHETA, CUNDINAMARCA",25
25430,"MADRID, CUNDINAMARCA",25
25436,"MANTA, CUNDINAMARCA",25
25438,"MEDINA, CUNDINAMARCA",25
25473,"MOSQUERA, CUNDINAMARCA",25
25483,"NARIÑO, CUNDINAMARCA",25
25486,"NEMOCON, CUNDINAMARCA",25
25488,"NILO, CUNDINAMARCA",25
25489,"NIMAIMA, CUNDINAMARCA",25
25491,"NOCAIMA, CUNDINAMARCA",25
25506,"OSPINA PEREZ (VENECIA), CUNDINAMARCA",25
25513,"PACHO, CUNDINAMARCA",25
25518,"PAIME, CUNDINAMARCA",25
25524,"PANDI, CUNDINAMARCA",25
25530,"PARATEBUENO, CUNDINAMARCA",25
25535,"PASCA, CUNDINAMARCA",25
25572,"PUERTO SALGAR, CUNDINAMARCA",25
25592,"QUEBRADANEGRA, CUNDINAMARCA",25
25594,"QUETAME, CUNDINAMARCA",25
25596,"QUIPILE, CUNDINAMARCA",25
25599,"RAFAEL REYES (APULO), CUNDINAMARCA",25
25612,"RICAURTE, CUNDINAMARCA",25
25645,"SAN ANTONIO DE TEQUENDAMA, CUNDINAMARCA",25
25649,"SAN BERNARDO, CUNDINAMARCA",25
25653,"SAN CAYETANO, CUNDINAMARCA",25
25658,"SAN FRANCISCO, CUNDINAMARCA",25
25662,"SAN JUAN DE RIO SECO, CUNDINAMARCA",25
25718,"SASAIMA, CUNDINAMARCA",25
25736,"SESQUILE, CUNDINAMARCA",25
25740,"SIBATE, CUNDINAMARCA",25
25743,"SILVANIA, CUNDINAMARCA",25
25745,"SIMIJACA, CUNDINAMARCA",25
25754,"SOACHA, CUNDINAMARCA",25
25758,"SOPO, CUNDINAMARCA",25
25769,"SUBACHOQUE, CUNDINAMARCA",25
25772,"SUESCA, CUNDINAMARCA",25
25777,"SUPATA, CUNDINAMARCA",25
25779,"SUSA, CUNDINAMARCA",25
25781,"SUTATAUSA, CUNDINAMARCA",25
25785,"TABIO, CUNDINAMARCA",25
25793,"TAUSA, CUNDINAMARCA",25
25797,"TENA, CUNDINAMARCA",25
25799,"TENJO, CUNDINAMARCA",25
25805,"TIBACUY, CUNDINAMARCA",25
25807,"TIBIRITA, CUNDINAMARCA",25
25815,"TOCAIMA, CUNDINAMARCA",25
25817,"TOCANCIPA, CUNDINAMARCA",25
25823,"TOPAIPI, CUNDINAMARCA",25
25839,"UBALA, CUNDINAMARCA",25
25841,"UBAQUE, CUNDINAMARCA",25
